agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,452.0,,0,,sed,INN,119396,0,1995-08-02,1995-08-02,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,452.0,,0,,wat,INN,119396,0,1996-03-14,2011-09-01,140
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,453.0,,0,,sed,INN,4788,0,1995-08-02,1995-08-02,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,453.0,,0,,wat,INN,4788,0,1996-03-14,2011-09-01,159
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,572.0,,0,,bio,BIO,1647825,0,2003-08-19,2006-08-21,3
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,572.0,,0,,wat,BIO,1647825,0,2005-08-17,2005-08-17,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,573.0,,0,,bio,BIO,1647825,0,2003-08-19,2006-08-21,3
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,573.0,,0,,wat,BIO,1647825,0,2005-08-17,2005-08-17,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,600.0,,0,,wat,NUT,52450988,0,1996-03-14,2004-10-07,92
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,602.0,,0,,wat,NUT,52450988,0,1996-03-14,2004-10-07,74
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,605.0,,0,,wat,NUT,17297623,0,1996-03-14,2011-08-24,158
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,607.0,,0,,wat,NUT,17297623,0,1996-03-14,2004-10-07,74
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,608.0,,0,,wat,NUT,966655,0,1996-03-14,2011-08-24,162
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,613.0,,0,,wat,NUT,197194,0,1996-03-14,2011-08-24,162
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,618.0,,0,,wat,NUT,197186,0,1996-03-14,2011-08-24,162
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,623.0,,0,,wat,NUT,17148461,0,1996-03-14,2004-10-07,74
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,625.0,,0,,wat,NUT,17148461,0,1996-03-14,2004-10-07,92
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,631.0,,0,,wat,NUT,701177,0,1996-03-14,2011-08-24,162
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,660.0,,0,,wat,NUT,194464,0,1996-03-14,2011-08-24,162
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,665.0,,0,,wat,NUT,153049,0,1996-03-14,2011-08-24,161
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,666.0,,0,,wat,NUT,153049,0,1996-03-14,2004-10-07,74
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,671.0,,0,,wat,NUT,194464,0,1996-03-14,2011-08-24,162
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,681.0,,0,,wat,OOT,701250,0,1996-03-14,2000-01-24,65
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,689.0,,0,,wat,OOT,701250,0,1996-03-14,2000-01-24,63
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,900.0,,0,,wat,PHY,1640416,0,1996-03-14,2004-10-07,71
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,904.0,,0,,wat,PHY,1640432,0,1996-03-14,2001-08-09,68
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,915.0,,0,,wat,INM,150268,0,1996-03-14,2004-10-07,71
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,925.0,,0,,wat,INM,149617,0,1996-03-14,2004-10-07,71
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,930.0,,0,,wat,INM,149856,0,1996-03-14,2004-10-07,71
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,931.0,,0,,wat,INM,1640523,0,1996-03-14,2004-10-07,71
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,932.0,,0,,wat,INM,1646660,0,1996-03-14,2004-10-07,70
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,935.0,,0,,wat,INM,149740,0,1996-03-14,2004-10-07,70
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,940.0,,0,,wat,INN,205955,0,1996-03-14,2011-09-01,161
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,945.0,,0,,wat,INN,197301,0,1996-03-14,2011-09-01,161
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,950.0,,0,,wat,INN,206706,0,1996-03-14,2004-10-07,71
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,955.0,,0,,wat,INN,151977,0,1996-03-14,2004-10-07,71
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,1046.0,,0,,wat,IMM,149559,0,1996-03-14,2004-10-07,71
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,1056.0,,0,,wat,IMM,149625,0,1996-03-14,2004-10-07,71
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,1300.0,,0,,wat,PHY,749655,0,2007-03-15,2007-03-15,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,1305.0,,0,,wat,PHY,1642099,0,2007-03-15,2007-03-15,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,1320.0,,0,,wat,PHY,17028242,0,2007-03-15,2007-03-15,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,1325.0,,0,,wat,PHY,1647700,0,2007-03-15,2007-03-15,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,1330.0,,0,,wat,PHY,1644145,0,2007-03-15,2007-03-15,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,1340.0,,0,,wat,PHY,1647718,0,2007-03-15,2007-03-15,1
USGS,05320270,"LITTLE COBB RIVER NEAR BEAUFORD, MN",ST,43.9966325,-93.9085628,S,NAD83,975,5,NGVD29,7020011,qw,1345.0,,0,,wat,PHY,1641851,0,2007-03-15,2007-03-15,1
