Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1999-04-07,0.36,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1999-05-12,0.39,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1999-05-25,0.41,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1999-06-11,0.28,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1999-06-29,0.51,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1999-07-29,0.54,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1999-08-19,0.45,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1999-09-30,0.47,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1999-10-20,0.39,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
1999-11-02,0.34,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
2000-01-10,0.48,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
2001-03-05,0.31,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
2001-04-05,0.19,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
2001-05-04,0.45,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
2001-06-29,0.50,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
2001-07-24,0.47,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
2001-08-09,0.54,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
2004-10-07,0.48,mg/L,Fluoride,"DESCRIPTION: Anions, filtered water, ion-selective electrode; CITATION(S): Fishman, M.J., and Friedman, L.C., 1989, Methods for determination of inorganic substances in water and fluvial sediments: U.S. Geological Survey Techniques of Water-Resources Investigations, book 5, chap. A1, p. 221-224. | USGS | I-2327-85","Inorganics, Major, Non-metals"
