agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,month_nu,mean_va,count_nu
USGS,05320500,00060,325200,,1960,10,39.6,31
USGS,05320500,00060,325200,,1960,11,36.0,30
USGS,05320500,00060,325200,,1960,12,31.6,31
USGS,05320500,00060,325200,,1961,1,16.3,31
USGS,05320500,00060,325200,,1961,2,11.3,28
USGS,05320500,00060,325200,,1961,3,1302.0,31
USGS,05320500,00060,325200,,1961,4,1017.0,30
USGS,05320500,00060,325200,,1961,5,647.5,31
USGS,05320500,00060,325200,,1961,6,503.4,30
USGS,05320500,00060,325200,,1961,7,140.9,31
USGS,05320500,00060,325200,,1961,8,563.5,31
USGS,05320500,00060,325200,,1961,9,156.4,30
USGS,05320500,00060,325200,,1961,10,237.8,31
USGS,05320500,00060,325200,,1961,11,159.1,30
USGS,05320500,00060,325200,,1961,12,88.5,31
USGS,05320500,00060,325200,,1962,1,39.3,31
USGS,05320500,00060,325200,,1962,2,33.8,28
USGS,05320500,00060,325200,,1962,3,378.5,31
USGS,05320500,00060,325200,,1962,4,3342.0,30
USGS,05320500,00060,325200,,1962,5,987.2,31
USGS,05320500,00060,325200,,1962,6,461.5,30
USGS,05320500,00060,325200,,1962,7,1426.0,31
USGS,05320500,00060,325200,,1962,8,216.6,31
USGS,05320500,00060,325200,,1962,9,1134.0,30
USGS,05320500,00060,325200,,1962,10,683.3,31
USGS,05320500,00060,325200,,1962,11,223.3,30
USGS,05320500,00060,325200,,1962,12,93.6,31
USGS,05320500,00060,325200,,1963,1,47.4,31
USGS,05320500,00060,325200,,1963,2,26.4,28
USGS,05320500,00060,325200,,1963,3,458.4,31
USGS,05320500,00060,325200,,1963,4,429.6,30
USGS,05320500,00060,325200,,1963,5,275.6,31
USGS,05320500,00060,325200,,1963,6,275.2,30
USGS,05320500,00060,325200,,1963,7,428.3,31
USGS,05320500,00060,325200,,1963,8,197.5,31
USGS,05320500,00060,325200,,1963,9,138.9,30
USGS,05320500,00060,325200,,1963,10,93.2,31
USGS,05320500,00060,325200,,1963,11,55.9,30
USGS,05320500,00060,325200,,1963,12,30.4,31
USGS,05320500,00060,325200,,1964,1,18.8,31
USGS,05320500,00060,325200,,1964,2,20.9,29
USGS,05320500,00060,325200,,1964,3,33.0,31
USGS,05320500,00060,325200,,1964,4,364.6,30
USGS,05320500,00060,325200,,1964,5,1126.0,31
