parm_cd,group,parm_nm,parm_unit
69675,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.004 millimeters",%
69676,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0033 millimeters",%
69677,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0028 millimeters",%
69678,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0023 millimeters",%
69679,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0020 millimeters",%
69680,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0016 millimeters",%
69681,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0014 millimeters",%
69682,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0012 millimeters",%
69683,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0010 millimeters",%
69684,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0008 millimeters",%
69685,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0007 millimeters",%
69686,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0006 millimeters",%
69687,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0005 millimeters",%
69688,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.00038 millimeters",%
69689,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 2 millimeters",%
69690,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 1.682 millimeters",%
69691,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 1.414 millimeters",%
69692,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 1.189 millimeters",%
69693,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 1 millimeters",%
69694,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.841 millimeters",%
69695,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.707 millimeters",%
69696,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.595 millimeters",%
69697,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.5 millimeters",%
69698,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.420 millimeters",%
69699,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.354 millimeters",%
69700,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.297 millimeters",%
69701,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.25 millimeters",%
69702,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.210 millimeters",%
69703,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.177 millimeters",%
69704,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.149 millimeters",%
69705,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.125 millimeters",%
69706,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.105 millimeters",%
69707,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.088 millimeters",%
69708,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.074 millimeters",%
69709,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0625 millimeters",%
69710,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.053 millimeters",%
69711,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.044 millimeters",%
69712,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.037 millimeters",%
69713,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.031 millimeters",%
69714,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.026 millimeters",%
69715,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.022 millimeters",%
69716,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.019 millimeters",%
69717,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.016 millimeters",%
69718,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.013 millimeters",%
69719,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.011 millimeters",%
69720,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.009 millimeters",%
69721,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.008 millimeters",%
69722,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.007 millimeters",%
69723,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.006 millimeters",%
69724,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.005 millimeters",%
69725,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.004 millimeters",%
69726,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0033 millimeters",%
69727,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0028 millimeters",%
69728,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0023 millimeters",%
69729,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0020 millimeters",%
69730,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0016 millimeters",%
69731,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0014 millimeters",%
69732,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0012 millimeters",%
69733,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0010 millimeters",%
69734,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0008 millimeters",%
69735,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0007 millimeters",%
69736,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0006 millimeters",%
69737,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0005 millimeters",%
69738,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.00038 millimeters",%
69739,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 2 millimeters",%
69740,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 1.682 millimeters",%
69741,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 1.414 millimeters",%
69742,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 1.189 millimeters",%
69743,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 1 millimeters",%
69744,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.841 millimeters",%
69745,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.707 millimeters",%
69746,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.595 millimeters",%
69747,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.5 millimeters",%
69748,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.420 millimeters",%
69749,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.354 millimeters",%
69750,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.297 millimeters",%
69751,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.25 millimeters",%
69752,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.210 millimeters",%
69753,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.177 millimeters",%
69754,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.149 millimeters",%
69755,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.125 millimeters",%
69756,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.105 millimeters",%
69757,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.088 millimeters",%
69758,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.074 millimeters",%
69759,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0625 millimeters",%
69760,Sediment,"Silt-clay fraction smaller than 0.063 millimeters, solids, percent",%
69761,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.00041 millimeters",%
69762,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.00041 millimeters",%
69763,Physical,"Solids, percent smaller than 0.00041 millimeters",%
69764,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.212 millimeters",%
69765,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.180 millimeters",%
69766,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.152 millimeters",%
69767,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.129 millimeters",%
69768,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.109 millimeters",%
69769,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0926 millimeters",%
69770,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0784 millimeters",%
69771,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0665 millimeters",%
69772,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0563 millimeters",%
69773,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0477 millimeters",%
69774,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0405 millimeters",%
69775,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0343 millimeters",%
69776,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0291 millimeters",%
69777,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0246 millimeters",%
69778,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0209 millimeters",%
69779,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0177 millimeters",%
69780,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0150 millimeters",%
69781,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0127 millimeters",%
69782,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.0108 millimeters",%
69783,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.00912 millimeters",%
69784,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.00772 millimeters",%
69785,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.00655 millimeters",%
69786,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.00555 millimeters",%
69787,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.00470 millimeters",%
69788,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.00398 millimeters",%
69789,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.00338 millimeters",%
69790,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.00286 millimeters",%
69791,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.00242 millimeters",%
69792,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.00205 millimeters",%
69793,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.00174 millimeters",%
69794,Sediment,"Suspended sediment, laser diffraction diameter, percent smaller than 0.00148 millimeters",%
69795,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.212 millimeters",%
69796,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.180 millimeters",%
69797,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.152 millimeters",%
69798,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.129 millimeters",%
69799,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.109 millimeters",%
69800,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0926 millimeters",%
69801,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0784 millimeters",%
69802,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0665 millimeters",%
69803,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0563 millimeters",%
69804,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0477 millimeters",%
69805,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0405 millimeters",%
69806,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0343 millimeters",%
69807,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0291 millimeters",%
69808,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0246 millimeters",%
69809,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0209 millimeters",%
69810,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0177 millimeters",%
69811,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0150 millimeters",%
69812,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0127 millimeters",%
69813,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.0108 millimeters",%
69814,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.00912 millimeters",%
69815,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.00772 millimeters",%
69816,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.00655 millimeters",%
69817,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.00555 millimeters",%
69818,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.00470 millimeters",%
69819,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.00398 millimeters",%
69820,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.00338 millimeters",%
69821,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.00286 millimeters",%
69822,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.00242 millimeters",%
69823,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.00205 millimeters",%
69824,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.00174 millimeters",%
69825,Sediment,"Bed sediment, laser diffraction diameter, percent smaller than 0.00148 millimeters",%
69826,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.212 millimeters",%
69827,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.180 millimeters",%
69828,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.152 millimeters",%
69829,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.129 millimeters",%
69830,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.109 millimeters",%
69831,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0926 millimeters",%
69832,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0784 millimeters",%
69833,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0665 millimeters",%
69834,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0563 millimeters",%
69835,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0477 millimeters",%
69836,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0405 millimeters",%
69837,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0343 millimeters",%
69838,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0291 millimeters",%
69839,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0246 millimeters",%
69840,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0209 millimeters",%
69841,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0177 millimeters",%
69842,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0150 millimeters",%
69843,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0127 millimeters",%
69844,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.0108 millimeters",%
69845,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.00912 millimeters",%
69846,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.00772 millimeters",%
69847,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.00655 millimeters",%
69848,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.00555 millimeters",%
69849,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.00470 millimeters",%
69850,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.00398 millimeters",%
69851,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.00338 millimeters",%
69852,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.00286 millimeters",%
69853,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.00242 millimeters",%
69854,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.00205 millimeters",%
69855,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.00174 millimeters",%
69856,Sediment,"Bedload sediment, laser diffraction diameter, percent smaller than 0.00148 millimeters",%
69857,Physical,"Solids, laser diffraction diameter, percent smaller than 0.420 millimeters",%
69858,Physical,"Solids, laser diffraction diameter, percent smaller than 0.354 millimeters",%
69859,Physical,"Solids, laser diffraction diameter, percent smaller than 0.297 millimeters",%
69860,Physical,"Solids, laser diffraction diameter, percent smaller than 0.212 millimeters",%
69861,Physical,"Solids, laser diffraction diameter, percent smaller than 0.180 millimeters",%
69862,Physical,"Solids, laser diffraction diameter, percent smaller than 0.152 millimeters",%
69863,Physical,"Solids, laser diffraction diameter, percent smaller than 0.129 millimeters",%
69864,Physical,"Solids, laser diffraction diameter, percent smaller than 0.109 millimeters",%
69865,Physical,"Solids, laser diffraction diameter, percent smaller than 0.0926 millimeters",%
69866,Physical,"Solids, laser diffraction diameter, percent smaller than 0.0784 millimeters",%
69867,Physical,"Solids, laser diffraction diameter, percent smaller than 0.0665 millimeters",%
69868,Physical,"Solids, laser diffraction diameter, percent smaller than 0.0563 millimeters",%
69869,Physical,"Solids, laser diffraction diameter, percent smaller than 0.0477 millimeters",%
69870,Physical,"Solids, laser diffraction diameter, percent smaller than 0.0405 millimeters",%
69871,Physical,"Solids, laser diffraction diameter, percent smaller than 0.0343 millimeters",%
69872,Physical,"Solids, laser diffraction diameter, percent smaller than 0.0291 millimeters",%
69873,Physical,"Solids, laser diffraction diameter, percent smaller than 0.0246 millimeters",%
69874,Physical,"Solids, laser diffraction diameter, percent smaller than 0.0209 millimeters",%
69875,Physical,"Solids, laser diffraction diameter, percent smaller than 0.0177 millimeters",%
69876,Physical,"Solids, laser diffraction diameter, percent smaller than 0.0150 millimeters",%
69877,Physical,"Solids, laser diffraction diameter, percent smaller than 0.0127 millimeters",%
69878,Physical,"Solids, laser diffraction diameter, percent smaller than 0.0108 millimeters",%
69879,Physical,"Solids, laser diffraction diameter, percent smaller than 0.00912 millimeters",%
69880,Physical,"Solids, laser diffraction diameter, percent smaller than 0.00772 millimeters",%
69881,Physical,"Solids, laser diffraction diameter, percent smaller than 0.00655 millimeters",%
69882,Physical,"Solids, laser diffraction diameter, percent smaller than 0.00555 millimeters",%
69883,Physical,"Solids, laser diffraction diameter, percent smaller than 0.00470 millimeters",%
69884,Physical,"Solids, laser diffraction diameter, percent smaller than 0.00398 millimeters",%
69885,Physical,"Solids, laser diffraction diameter, percent smaller than 0.00338 millimeters",%
69886,Physical,"Solids, laser diffraction diameter, percent smaller than 0.00286 millimeters",%
69887,Physical,"Solids, laser diffraction diameter, percent smaller than 0.00242 millimeters",%
69888,Physical,"Solids, laser diffraction diameter, percent smaller than 0.00205 millimeters",%
69889,Physical,"Solids, laser diffraction diameter, percent smaller than 0.00174 millimeters",%
69890,Physical,"Solids, laser diffraction diameter, percent smaller than 0.00148 millimeters",%
69891,Sediment,"Mean particle diameter, calculated from fully processed size distribution, millimeters",mm
69892,Information,"N-Ethylperfluorooctanesulfonamide-d5 (N-EtFOSA-d5), surrogate, linear, water, unfiltered, supernate, recoverable, percent recovery",%
69893,Information,"N-Methylperfluorooctanesulfonamide-d3 (N-MeFOSA-d3), surrogate, linear, water, unfiltered, supernate, recoverable, percent recovery",%
69894,Information,"Perfluorobutanoate-13C3 (PFBA-13C3), surrogate, water, unfiltered, recoverable, percent recovery",%
69895,Information,"Perfluorooctanoate-13C2 (PFOA-13C2), surrogate, water, unfiltered, recoverable, percent recovery",%
69896,Information,"Perfluorooctanesulfonate-13C4 (PFOS-13C4), surrogate, water, unfiltered, recoverable, percent recovery",%
69898,Information,"Perfluorodecanoate-13C2 (PFDA-13C2), surrogate, water, unfiltered, recoverable, percent recovery",%
69899,Information,"N-Ethylperfluorooctanesulfonamidoacetate-d5 (N-EtFOSAA-d5), surrogate, water, unfiltered, recoverable, percent recovery",%
69901,"Inorganics, Minor, Non-metals","Selenium, speciation unknown, water, filtered, recoverable, micrograms per liter",ug/l
69902,Radiochemical,"Carbon-14 in carbon dioxide 1-sigma combined uncertainty, soil gas, percent modern",pct modern
69903,Radiochemical,"Carbon-14 in carbon dioxide, soil gas, percent modern",pct modern
70001,Information,Composite location in cross section,X-section
70007,"Organics, Other","Methocarbamol, water, unfiltered, recoverable, micrograms per liter",ug/l
70219,Information,"Solution volume, total, dry atmospheric deposition, milliliters",ml
70224,Physical,"Wave height, nearshore, feet",ft
70227,Physical,"Direction of stream flow, magnetic azimuth, degrees",Deg
70232,Physical,"Water velocity reading from field sensor, knots",knots
70233,Physical,"Significant wave height, feet",ft
70234,Physical,"Maximum wave height, feet",ft
70235,Physical,"Mean zero upcrossing wave period, seconds",seconds
70286,"Inorganics, Minor, Non-metals","Selenium, water, unfiltered, recoverable, micrograms per liter",ug/l
70287,"Inorganics, Major, Non-metals","Silicon, water, filtered, milligrams per liter",mg/l
70288,Physical,"Suspended solids, dried at 45 degrees Celsius, water, unfiltered, milligrams per liter",mg/l
70289,"Inorganics, Major, Non-metals","Chloride, water, dissolved, pounds per day",lb/day
70290,"Inorganics, Major, Non-metals","Chloride, water, dissolved, short tons per day",tons/day
70291,"Inorganics, Major, Non-metals","Sulfate, water, dissolved, short tons per day",tons/day
70292,Physical,"Suspended solids, evaporation by vacuum desiccation at room temperature, water, milligrams per liter",mg/l
70293,Physical,"Suspended solids, dried at 105 degrees Celsius, water, milligrams per liter",mg/l
70299,Physical,"Suspended solids dried at 110 degrees Celsius, water, unfiltered, milligrams per liter",mg/l
70300,Physical,"Dissolved solids dried at 180 degrees Celsius, water, filtered, milligrams per liter",mg/l
70301,Physical,"Dissolved solids, water, filtered, sum of constituents, milligrams per liter",mg/l
70302,Physical,"Dissolved solids, water, short tons per day",tons/day
70303,Physical,"Dissolved solids, water, filtered, short tons per acre-foot",tons/ac ft
70305,Physical,"Salinity, water, grams per liter",g/l
70309,Sediment,"Compaction, sediment, feet",ft
70310,Physical,"pH, bed sediment, standard units",std units
70314,"Organics, Pesticide","Chlorothalonil, water, unfiltered, recoverable, micrograms per liter",ug/l
70320,Physical,"Moisture content, fraction of wet weight, percent",%
70326,Sediment,"Suspended sediment, fall diameter (native water), percent smaller than 0.002 millimeters",%
70327,Sediment,"Suspended sediment, fall diameter (native water), percent smaller than 0.004 millimeters",%
70328,Sediment,"Suspended sediment, fall diameter (native water), percent smaller than 0.008 millimeters",%
70329,Sediment,"Suspended sediment, fall diameter (native water), percent smaller than 0.016 millimeters",%
70330,Sediment,"Suspended sediment, fall diameter (native water), percent smaller than 0.031 millimeters",%
70331,Sediment,"Suspended sediment, sieve diameter, percent smaller than 0.0625 millimeters",%
70332,Sediment,"Suspended sediment, sieve diameter, percent smaller than 0.125 millimeters",%
70333,Sediment,"Suspended sediment, sieve diameter, percent smaller than 0.25 millimeters",%
70334,Sediment,"Suspended sediment, sieve diameter, percent smaller than 0.5 millimeters",%
70335,Sediment,"Suspended sediment, sieve diameter, percent smaller than 1 millimeters",%
70336,Sediment,"Suspended sediment, sieve diameter, percent smaller than 2 millimeters",%
70337,Sediment,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.002 millimeters",%
70338,Sediment,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.004 millimeters",%
70339,Sediment,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.008 millimeters",%
70340,Sediment,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.016 millimeters",%
70341,Sediment,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.031 millimeters",%
70342,Sediment,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.0625 millimeters",%
70343,Sediment,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.125 millimeters",%
70344,Sediment,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.25 millimeters",%
70345,Sediment,"Suspended sediment, fall diameter (deionized water), percent smaller than 0.5 millimeters",%
70346,Sediment,"Suspended sediment, fall diameter (deionized water), percent smaller than 1 millimeter",%
70347,Sediment,"Suspended sediment, fall diameter (deionized water), percent smaller than 2 millimeters",%
70348,Physical,"Settleable solids, water, unfiltered, milliliters per liter",ml/l
70350,Sediment,"Suspended sediment, sieve diameter, percent smaller than 0.02 millimeters",%
70354,Sediment,"Suspended Sediment, laser diffraction diameter, particle counts between 0.50 to 0.63 microns, counts per milliliter",counts/mL
70355,Sediment,"Suspended Sediment, laser diffraction diameter, particle counts between 0.63 to 0.79 microns, counts per milliliter",counts/mL
70356,Sediment,"Suspended Sediment, laser diffraction diameter, particle counts between 0.79 to 1.00 microns, counts per milliliter",counts/mL
70357,Sediment,"Suspended Sediment, laser diffraction diameter, particle counts between 1.00 to 1.41 microns, counts per milliliter",counts/mL
70358,Sediment,"Suspended Sediment, laser diffraction diameter, particle counts between 1.41 to 2.00 microns, counts per milliliter",counts/mL
70359,Sediment,"Suspended Sediment, laser diffraction diameter, particle counts between 2.00 to 2.83 microns, counts per milliliter",counts/mL
70360,Sediment,"Suspended Sediment, laser diffraction diameter, particle counts between 2.83 to 4.00 microns, counts per milliliter",counts/mL
70361,Sediment,"Suspended Sediment, laser diffraction diameter, particle counts between 4.00 to 4.76 microns, counts per milliliter",counts/mL
70362,Sediment,"Suspended Sediment, laser diffraction diameter, particle counts between 4.76 to 5.66 microns, counts per milliliter",counts/mL
70363,Sediment,"Suspended Sediment, laser diffraction diameter, particle counts between 5.66 to 6.73 microns, counts per milliliter",counts/mL
70364,Sediment,"Suspended Sediment, laser diffraction diameter, particle counts between 6.73 to 8.00 microns, counts per milliliter",counts/mL
70365,Sediment,"Suspended Sediment, laser diffraction diameter, particle counts between 8.00 to 11.31 microns, counts per milliliter",counts/mL
70366,Sediment,"Suspended Sediment, laser diffraction diameter, particle counts between 11.31 to 16.00 microns, counts per milliliter",counts/mL
70367,Sediment,"Suspended Sediment, laser diffraction diameter, sum of particle counts between 1.00 to 4.76 microns, counts per liter",count/l
70368,Sediment,"Suspended Sediment, laser diffraction diameter, sum of particle counts between 0.50 to 16.00 microns, counts per liter",count/l
70369,Sediment,"Suspended sediment particles between 0.50 to 16.00 microns, water, unfiltered, computed by regression equation, counts per liter",count/l
70370,Sediment,"Suspended sediment particle load between 0.50 to 16.00 microns, water, unfiltered, computed by regression equation, counts per second",counts/sec
70371,Sediment,"Suspended sediment particle concentration between 0.50 to 16.00 microns, water, unfiltered, milligrams per liter",mg/l
70372,Sediment,"Suspended sediment particle load between 0.50 to 16.00 microns, water, unfiltered, computed by regression equation, counts per day",count/day
70373,Sediment,"Suspended sediment particle load between 0.50 to 16.00 microns, water, unfiltered, computed by regression equation, milligrams per second",mg/s
70374,Sediment,"Suspended sediment particle load between 0.50 to 16.00 microns, water, unfiltered, computed by regression equation, pounds per day",lb/day
70375,Sediment,"Suspended sediment load, water, unfiltered, computed by regression equation, pounds per day",lb/day
70376,Sediment,"Suspended sediment particle load between 1.00 to 4.76 microns, water, unfiltered, computed by regression equation, counts per second",counts/sec
70377,Sediment,"Suspended sediment particle load between 1.00 to 4.76 microns, water, unfiltered, computed by regression equation, counts per day",count/day
70378,Nutrient,"Nitrate plus nitrite yield, computed by regression equation, pounds per day per square mile",lb/day/mi2
70379,Nutrient,"Nitrate plus nitrite yield, computed by regression equation, kilograms per day per square kilometer",kg/day/km2
70380,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N] yield, computed by regression equation, pounds per day per square mile",lb/day/mi2
70381,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N] yield, computed by regression equation, kilograms per day per square kilometer",kg/day/km2
